Folder	ItemName	Lang	Ano	Generos
100 Coisas para Fazer Antes de Virar Zumbi	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
100 Dias para Morar - Começando do Zero	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
100 Namoradas Que Te Amam Muuuuuito	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
190 - Inteligência Contra o Crime	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
190 - O Assassino Ligou_	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
1995 - No Tempo dos Badboys	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
4 Contra o Apocalipse	4 Contra o Apocalipse	en	2019	Animação|Comédia|Sci-Fi & Fantasy
44 Gatos	44 Gatos	it	2018	Animação|Comédia|Kids|Action & Adventure|Família
86 Eighty-Six	86 EIGHTY-SIX	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy|War & Politics
900 Dias Sem Anabel	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
91 Days	91 Days	ja	2016	Animação|Crime|Drama
911 - Quando a Morte Chama	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
A Árvore Familiar dos Croods	A Árvore Familiar dos Croods	en	2021	Animação|Família|Action & Adventure|Comédia|Kids
A Casa Coruja	A Casa Coruja	en	2020	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy|Família
A Casa do Mickey Mouse	A Casa do Mickey Mouse	en	2006	Kids|Animação|Comédia|Sci-Fi & Fantasy|Action & Adventure
A Casa Mágica da Gabby	A Casa Mágica da Gabby	en	2021	Kids|Comédia|Animação|Sci-Fi & Fantasy
A Concierge Pokémon	A Concierge Pokémon	ja	2023	Animação|Família
A Couple of Cuckoos	A Couple of Cuckoos	ja	2022	Animação|Comédia
A Família Radical	A Família Radical	en	2001	Animação|Comédia|Kids|Família
A Família Radical - Maior e Melhor	A Família Radical: Maior e Melhor	en	2022	Família|Animação|Comédia
A Festa da Salsicha - Comilândia	Festa da Salsicha: Comilândia	en	2024	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
A Guarda do Leão	A Guarda do Leão	en	2016	Kids|Animação
A Lei de Milo Murphy	A Lei de Milo Murphy	en	2016	Animação|Kids|Família|Comédia
A Lenda de Vox Machina	A Lenda de Vox Machina	en	2022	Animação|Sci-Fi & Fantasy|Action & Adventure
A Luz do Futuro	A Luz do Futuro	ja	2026	Animação|Drama|Sci-Fi & Fantasy
A Mansão Foster para Amigos Imaginários	A Mansão Foster para Amigos Imaginários	en	2004	Kids|Animação|Família|Sci-Fi & Fantasy|Comédia
A Menina e o Porquinho	A Menina e o Porquinho	en	2025	Animação|Drama|Família
A Nova Escola do Imperador	A Nova Escola do Imperador	en	2006	Comédia|Kids|Animação|Sci-Fi & Fantasy
A Pequena Sereia	A Pequena Sereia	en	1992	Família|Animação|Kids|Sci-Fi & Fantasy
A Saga Wingfeather	A Saga Wingfeather	en	2022	Animação|Sci-Fi & Fantasy|Action & Adventure
A Sombra do Batman	A Sombra do Batman	en	2013	Action & Adventure|Animação|Kids
A Tia é Top	A Tia é Top	en	2021	Animação|Comédia
A Turma do Charlie Brown e Snoopy	A Turma do Charlie Brown e Snoopy	en	1983	Animação|Comédia
A Turma do Pateta	A Turma do Pateta	en	1992	Comédia|Kids|Animação
A Veterana Pitica da Firma	A Veterana Pitica da Firma	ja	2023	Animação|Comédia
A Vida de Dug	A Vida de Dug	en	2021	Animação|Comédia|Família
A Vida Moderna de Rocko	A Vida Moderna de Rocko	en	1993	Animação|Comédia|Kids
A Xerife Callie no Oeste	A Xerife Callie no Oeste	en	2013	Animação|Faroeste|Sci-Fi & Fantasy|Kids
Academia Unicórnio	Academia Unicórnio	en	2023	Animação|Kids|Sci-Fi & Fantasy|Action & Adventure|Comédia|Família
Academia Unicórnio - Segredos Revelados	Academia Unicórnio: Segredos Revelados	en	2026	Animação|Kids|Sci-Fi & Fantasy
Acampamento de Verão	Acampamento de Verão	en	2018	Animação|Comédia|Sci-Fi & Fantasy|Família
Acampamento Mágico	Acampamento Mágico	en	2026	Kids|Animação
Ace Attorney	Ace Attorney	ja	2016	Animação|Crime|Drama|Mistério
Ace of the Diamond	Ace of the Diamond	ja	2013	Animação
Acorda, Carlo!	Acorda, Carlo!	pt	2023	Action & Adventure|Animação
Active Raid	Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari	ja	2016	Animação|Action & Adventure|Crime
Ada Batista, cientista	Ada Batista, cientista	en	2021	Kids|Animação|Comédia|Família
Adachi to Shimamura	Adachi and Shimamura	ja	2020	Animação|Comédia|Drama
Adolepeixes	Adolepeixes	en	2010	Animação|Comédia|Kids
Agent P, Under C	Agente P. Disfarçado	en	2026	Action & Adventure|Família|Animação|Comédia
Agente Elvis	Agente Elvis	en	2023	Animação|Comédia|Action & Adventure
Agents of the Four Seasons - Dance of Spring	Agents of the Four Seasons: Dance of Spring	ja	2026	Animação|Drama|Sci-Fi & Fantasy
Aggretsuko	Aggretsuko	ja	2018	Animação|Comédia
Ajin	AJIN: Demi-Human	ja	2016	Animação|Action & Adventure|Mistério
Akame ga Kill	Akame ga Kill!	ja	2014	Animação|Drama|Action & Adventure
Akane-banashi	Akane-banashi	ja	2026	Animação|Drama
Akudama Drive	Akudama Drive	ja	2020	Animação|Mistério|Action & Adventure|Sci-Fi & Fantasy|Crime
Akuyaku Reijou nanode Last Boss wo Kattemimashita	I'm the Villainess, So I'm Taming the Final Boss	ja	2022	Animação|Comédia|Sci-Fi & Fantasy
Alien TV	Alien TV	en	2020	Animação|Comédia|Família|Kids
Alma-chan Wants to Be a Family!	Alma-chan Wants to Be a Family!	ja	2025	Animação|Comédia
Alvinnn!!! E os Esquilos	Alvinnn!!! E os Esquilos	en	2015	Animação|Comédia|Família|Kids
Alya Sometimes Hides Her Feelings in Russian	Alya Sometimes Hides Her Feelings in Russian	ja	2024	Animação|Comédia
American Dad!	American Dad!	en	2005	Animação|Comédia
Among Us	Among Us	en	2026	Animação|Comédia|Mistério|Sci-Fi & Fantasy
Amphibia	Amphibia	en	2019	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy|Família
Ana	Ana Pimentinha	en	1997	Animação|Comédia|Família|Kids
Angel Beats!	Angel Beats!	ja	2010	Animação|Comédia|Drama|Sci-Fi & Fantasy|Action & Adventure
Angels of Death	Angels of Death	ja	2018	Action & Adventure|Animação
Animals	Animals.	en	2016	Animação|Comédia
Animaniacs	Animaniacs	en	1993	Animação|Kids|Comédia|Família
Anne Shirley	Anne Shirley	ja	2025	Animação|Drama|Família
Another	Another	ja	2012	Animação|Drama|Mistério
Aoashi	Aoashi	ja	2022	Animação
Apenas Um Show	Apenas um Show	en	2010	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Apenas um Show - As Fitas Perdidas	Apenas um Show: As Fitas Perdidas	en	2026	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Appare-Ranman!	Appare-Ranman!	ja	2020	Animação|Action & Adventure
Aprendendo Com Disney Junior	Aprendendo Com Disney Junior	en	2019	Animação|Kids
Aqua Teen - Esquadrão Força Total	Aqua Teen: Esquadrão Força Total	en	2000	Animação|Comédia
Aquaman - Rei de Atlântida	Aquaman: Rei de Atlântida	en	2021	Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
Arcane	Arcane	en	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Arifureta Shokugyou de Sekai Saikyou	Arifureta: From Commonplace to World's Strongest	ja	2019	Animação|Action & Adventure|Sci-Fi & Fantasy
Arnold	Ei Arnold!	en	1996	Animação|Comédia|Drama|Família
As Aventuras de Chuck e Amigos	As aventuras de Chuck e amigos	en	2010	Animação|Kids
As Aventuras de Horton	As Aventuras de Horton	en	2025	Animação|Kids
As Aventuras de Jackie Chan	As Aventuras de Jackie Chan	en	2000	Action & Adventure|Animação|Comédia|Sci-Fi & Fantasy
As Aventuras do Gato de Botas	As Aventuras do Gato de Botas	en	2015	Animação|Comédia|Família|Kids
As Aventuras Escolhidas	As Aventuras Escolhidas	en	2025	Animação|Família|Kids|Drama
As Enroladas Aventuras da Rapunzel	As Enroladas Aventuras da Rapunzel	en	2017	Kids|Animação|Comédia
As Fabulosas Aventuras dos Freak Brothers	As Fabulosas Aventuras dos Freak Brothers	en	2021	Animação|Comédia
As Irmãs Grimm	As Irmãs Grimm	en	2025	Action & Adventure|Sci-Fi & Fantasy|Animação
As Lendas - Mestres dos Mitos	As Lendas: Mestres dos Mitos	es	2019	Animação|Action & Adventure
As Meninas Superpoderosas (2016)	As Meninas Superpoderosas	en	1998	Action & Adventure|Animação|Comédia|Kids|Família
As palavras	Barca de Palavras	ja	2016	Animação|Drama
As Tartarugas Ninjas	As Tartarugas Ninjas	en	2012	Kids|Animação|Action & Adventure|Sci-Fi & Fantasy|Comédia
As Terríveis Aventuras de Billy e Mandy	As Terríveis Aventuras de Billy e Mandy	en	2001	Animação|Comédia|Kids
As Trapalhadas de Flapjack	As Trapalhadas de Flapjack	en	2008	Animação|Comédia|Sci-Fi & Fantasy|Kids
Assassímio da Marvel	Assassímio da Marvel	en	2021	Animação|Action & Adventure
Assassination Classroom	Assassination Classroom	ja	2015	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Assim Falava Kishibe Rohan	Assim Falava Kishibe Rohan	ja	2017	Mistério|Animação
Astronauta	Astronauta	pt	2024	Animação|Sci-Fi & Fantasy|Action & Adventure|Drama
Atomic	Betty Atômica	en	2004	Animação|Sci-Fi & Fantasy|Action & Adventure|Kids
Attack on Titan	Attack on Titan	ja	2013	Animação|Sci-Fi & Fantasy|Action & Adventure
Avatar - A Lenda de Aang	Avatar: A Lenda de Aang	en	2005	Animação|Action & Adventure|Sci-Fi & Fantasy
Avatar - A Lenda De Korra	A Lenda de Korra	en	2012	Animação|Action & Adventure|Sci-Fi & Fantasy
Azur Lane	AZUR LANE	ja	2019	Action & Adventure|Sci-Fi & Fantasy|Animação
Baby Looney Tunes	Baby Looney Tunes	en	2002	Animação|Comédia|Kids
Back Arrow	Back Arrow	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Baki - O Campeão	Baki - O Campeão	ja	2018	Animação|Action & Adventure|Crime|Drama
Baki Hanma	Baki Hanma	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Banished from the Heroes Party	Scooped Up by an S-Rank Adventurer!	ja	2025	Animação|Action & Adventure|Sci-Fi & Fantasy
Barbie - Dreamhouse Adventures	Barbie: Dreamhouse Adventures	en	2018	Animação|Família|Kids|Comédia
Barbie Dreamhouse Adventures - Go Team Roberts	Barbie Dreamhouse Adventures: Go Team Roberts	en	2019	Animação|Família|Kids|Comédia
Bat-Família	Bat-Família	en	2025	Animação|Família
Batman - A Série Animada	Batman: A Série Animada	en	1992	Action & Adventure|Animação|Drama|Mistério
Batman - Cruzado Encapuzado	Batman: Cruzado Encapuzado	en	2024	Animação|Crime|Action & Adventure|Mistério
Batman - Os Bravos e Destemidos	Batman: Os Bravos e Destemidos	en	2008	Animação|Action & Adventure|Sci-Fi & Fantasy
Battle Game in 5 Seconds	Battle Game in 5 Seconds	ja	2021	Animação|Drama|Mistério|Action & Adventure|Sci-Fi & Fantasy
Batwheels	Batwheels	en	2022	Kids|Animação|Comédia
Baymax!	Baymax!	en	2022	Animação|Comédia|Família
Beast Tamer	Beast Tamer	ja	2022	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Beastars o Lobo Bom	BEASTARS - O Lobo Bom	ja	2019	Animação|Drama|Mistério|Crime
Bebefinn	베베핀	ko	2022	Animação|Kids
Ben 10	Ben 10	en	2005	Animação|Sci-Fi & Fantasy|Action & Adventure|Comédia|Kids
Ben 10 (2016)	Ben 10	en	2005	Animação|Sci-Fi & Fantasy|Action & Adventure|Comédia|Kids
Ben 10 - Força Alienígena	Ben 10: Força Alienígena	en	2008	Animação|Sci-Fi & Fantasy|Action & Adventure
Ben 10 - Omniverse	Ben 10: Omniverse	en	2012	Action & Adventure|Animação|Sci-Fi & Fantasy|Kids
Ben 10 - Supremacia Alienígena	Ben 10: Supremacia Alienígena	en	2010	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Berserk	Berserk	ja	1997	Action & Adventure|Sci-Fi & Fantasy|Animação
Beyblade Metal Fusion (2009)	Beyblade: Metal Fusion	ja	2009	Animação|Mistério|Action & Adventure|Kids|Sci-Fi & Fantasy
Big Blue - O Grande Oceano	Big Blue: O Grande Oceano	en	2021	Animação|Família
Big Mouth	Big Mouth	en	2017	Comédia|Animação
Billy Dilley	Billy Dilley	en	2017	Animação|Comédia|Kids
Bingo e Rolly	Bingo e Rolly	en	2017	Animação|Kids|Família|Comédia|Drama
Birdgirl	Birdgirl	en	2021	Animação|Comédia
Black Butler	Black Butler	ja	2008	Animação|Comédia|Drama|Mistério|Sci-Fi & Fantasy
Black Clover	Black Clover	ja	2017	Animação|Action & Adventure|Sci-Fi & Fantasy
Black Rock Shooter - Dawn Fall	Black Rock Shooter: Amanhecer	ja	2022	Animação|Action & Adventure|Sci-Fi & Fantasy|Drama
Black Summoner	Black Summoner	ja	2022	Animação|Action & Adventure|Sci-Fi & Fantasy
BLACK TORCH	BLACK TORCH	ja	2026	Animação|Mistério|Action & Adventure|Sci-Fi & Fantasy
Blaze e os Monster Machines	Blaze e os Monster Machines	en	2014	Kids|Animação|Família|Comédia
Bleach	Bleach	ja	2004	Action & Adventure|Animação|Sci-Fi & Fantasy
Blood Blockade Battlefront	Blood Blockade Battlefront	ja	2015	Animação|Sci-Fi & Fantasy|Action & Adventure|Comédia
Blue Box	Blue Box	ja	2024	Animação|Drama
Blue Exorcist	Blue Exorcist	ja	2011	Animação|Sci-Fi & Fantasy|Mistério|Action & Adventure
Blue Lock	BLUE LOCK	ja	2022	Animação|Action & Adventure|Drama
Blue Reflection Ray	Blue Reflection Ray	ja	2021	Animação|Drama|Sci-Fi & Fantasy
Bluey	Bluey	en	2018	Animação|Comédia|Família|Kids
Bob Esponja Kamp Koral	Kamp Koral: Bob Esponja, Primeiros Anos!	en	2021	Animação|Comédia|Família
Bobs Burgers	Bob's Burgers	en	2011	Animação|Comédia
Bocchi the Rock!	BOCCHI THE ROCK!	ja	2022	Animação|Comédia
BoJack Horseman	BoJack Horseman	en	2014	Animação|Comédia|Drama
Boku no Hero Academia	My Hero Academia: Vigilantes	ja	2025	Animação|Action & Adventure|Drama|Sci-Fi & Fantasy
Bonkers - De Astro a Tira	Bonkers: De Astro a Tira	en	1993	Animação|Comédia|Kids
Bordertown	Bordertown	en	2016	Animação|Comédia
Boruto - Naruto Next Generations	Boruto: Naruto Next Generations	ja	2017	Animação|Action & Adventure|Comédia
Boss	Helluva Boss	en	2020	Animação|Comédia|Drama|Sci-Fi & Fantasy
Bravos Guerreiros (2012)	Bravos Guerreiros	en	2012	Action & Adventure|Animação|Comédia|Sci-Fi & Fantasy|Família
Brickleberry	Brickleberry	en	2012	Comédia|Animação
Brotherhood	Fullmetal Alchemist: Brotherhood	ja	2009	Animação|Action & Adventure|Sci-Fi & Fantasy|Drama
Bubble Guppies	Bubble Guppies	en	2011	Animação|Família|Kids
Build Divide - Code Black	Build Divide: Code Black	ja	2021	Animação|Action & Adventure|Sci-Fi & Fantasy
Bungo Stray Dogs	Bungo Stray Dogs	ja	2016	Animação|Action & Adventure|Mistério|Sci-Fi & Fantasy
By the Grace of the Gods	By the Grace of the Gods	ja	2020	Animação|Action & Adventure|Sci-Fi & Fantasy
Caça às Nozes com Tico e Teco	Caça às Nozes com Tico e Teco	en	2017	Animação
Caçadores de Demônios	Caçadores de Demônios	zh	2023	Animação|Action & Adventure
Caçadores de Trolls	Caçadores de Trolls	en	2016	Família|Animação|Action & Adventure|Comédia|Sci-Fi & Fantasy
Caligula	Caligula	ja	2018	Animação|Action & Adventure|Sci-Fi & Fantasy
Campfire Cooking in Another World with My Absurd Skill	Campfire Cooking in Another World with My Absurd Skill	ja	2023	Animação|Action & Adventure|Sci-Fi & Fantasy|Comédia
Cãoventuras	Cãoventuras	es	2021	Animação|Família|Kids|Comédia
Capitão Planeta	Capitão Planeta	en	1990	Animação|Action & Adventure|Sci-Fi & Fantasy|Kids
Capitão Tsubasa	Captain Tsubasa	ja	2018	Animação|Comédia|Drama
Captain Tsubasa	Captain Tsubasa	ja	2018	Animação|Comédia|Drama
Cardcaptor Sakura	Cardcaptor Sakura	ja	1998	Animação|Sci-Fi & Fantasy|Action & Adventure
Carmen Sandiego	Carmen Sandiego	en	2019	Animação|Action & Adventure|Crime|Kids
Carol e o Fim do Mundo	Carol e o Fim do Mundo	en	2023	Animação|Comédia|Drama|Sci-Fi & Fantasy
Carros na Estrada	Carros na Estrada	en	2022	Família|Comédia|Kids|Animação|Action & Adventure
Castlevania	Castlevania	en	2017	Animação|Sci-Fi & Fantasy|Drama
Castlevania - Noturno	Castlevania: Noturno	en	2023	Animação|Sci-Fi & Fantasy|Drama
Cat's Eye (2025)	Cat's Eye	ja	1983	Animação|Action & Adventure|Comédia|Drama|Mistério|Crime
CatDog	CatDog	en	1998	Animação|Comédia|Kids
Caverna do Dragão	Caverna do Dragão	en	1983	Animação|Sci-Fi & Fantasy|Comédia|Action & Adventure|Kids
Central Park	Central Park	en	2020	Animação|Comédia
Chainsaw Man	Chainsaw Man	ja	2022	Animação|Action & Adventure|Sci-Fi & Fantasy
Chainsmoker Cat	Chainsmoker Cat	ja	2026	Animação|Comédia|Sci-Fi & Fantasy
Charlotte	Charlotte	ja	2015	Animação|Drama|Sci-Fi & Fantasy
Chaves Em Desenho Animado	Chaves Em Desenho Animado	es	2006	Animação|Comédia|Kids|Família
Chip e Potato	Chip e Potato	en	2018	Kids|Animação
Chowder	Chowder	en	2007	Animação|Comédia|Kids
Círculo de Fogo - The Black	Círculo de Fogo: The Black	en	2021	Sci-Fi & Fantasy|Animação|Action & Adventure
Clarêncio, O Otimista	Clarêncio, O Otimista	en	2014	Animação|Comédia
Classroom of the Elite	Classroom of the Elite	ja	2017	Animação|Drama|Mistério
Claymore	Claymore	ja	2007	Action & Adventure|Animação|Drama|Sci-Fi & Fantasy
Clevatess	Clevatess	ja	2025	Animação|Action & Adventure|Sci-Fi & Fantasy
Clube Winx - A Magia está de volta	Clube Winx: A Magia está de volta	it	2025	Animação|Kids|Action & Adventure|Comédia|Sci-Fi & Fantasy
Code Geass	Code Geass	ja	2006	Animação|Sci-Fi & Fantasy|Action & Adventure|Drama
Combatants Will Be Dispatched	Combatants Will Be Dispatched!	ja	2021	Animação|Comédia|Action & Adventure|Sci-Fi & Fantasy
Como Raeliana Foi Parar na Mansão do Duque	Como Raeliana Foi Parar na Mansão do Duque	ja	2023	Animação|Comédia|Mistério|Sci-Fi & Fantasy
